,activity_date,total_supply,total_locked,foundation_locked,lockups_locked_tokens,total_unlocked,total_staked,total_liquid,pct_stake_change
446,2021-12-30,1060392164.1165566,430187436.44702405,29588969.54423648,430187436.44702405,600615758.1252961,423426477.6955011,177189280.42979503,-1.7514765738341822
447,2021-12-31,1060475547.9380388,429726933.49629533,29588969.54423648,429726933.49629533,601159644.897507,423550824.901166,177608819.99634093,0.029358272574242505
448,2022-01-01,1060643968.3463101,429266426.1768143,29588969.54423648,429266426.1768143,601788572.6252594,425399964.61795413,176388608.00730526,0.4346826212006931
449,2022-01-02,1060814159.0375885,428805936.2438881,29588969.54423648,428805936.2438881,602419253.249464,425526823.19835186,176892430.05111217,0.02981212310993442
450,2022-01-03,1060899409.9458647,428345657.2382253,29588969.544710867,428345657.2382253,602964783.1629286,425133712.54678786,177831070.61614072,-0.09246753196990198
451,2022-01-04,1061070851.3561813,427885148.64963055,29588969.544710867,427885148.64963055,603596733.16184,425567231.42262554,178029501.73921442,0.10186848136508786
452,2022-01-05,1061241208.2304589,427424643.05856633,29588969.544710867,427424643.05856633,604227595.6271815,425439747.7834664,178787847.84371513,-0.029965145434431406
453,2022-01-06,1061324544.6237833,427103343.6572107,29449583.540221117,427103343.6572107,604771617.4263514,425517173.71118045,179254443.71517098,0.0181957233450305
454,2022-01-07,1061496086.2509238,426642738.96712875,29449583.540221117,426642738.96712875,605403763.7435739,419558865.0807497,185844898.6628242,-1.4201365115438733
455,2022-01-08,1061667788.753475,426182590.8136003,29449583.54069553,426182590.8136003,606035614.3991791,405817169.218724,200218445.1804551,-3.3861790245299517
456,2022-01-09,1061757638.396265,425721990.00677216,29449583.54069553,425721990.00677216,606586064.8487973,407161112.41174495,199424952.43705237,0.33007651076016487
457,2022-01-10,1061925831.7437975,425261384.1860259,29449583.54069553,425261384.1860259,607214864.0170761,393138846.99898654,214076017.0180896,-3.5667463339725884
458,2022-01-11,1062094693.9530026,424800777.4433919,29449583.54069553,424800777.4433919,607844332.9689151,379443910.9534175,228400422.01549762,-3.6092122314357766
459,2022-01-12,1062179377.26301,424340173.84953517,29449583.54069553,424340173.84953517,608389619.8727793,379448975.6996239,228940644.17315537,0.0013347634413918286
460,2022-01-13,1062349653.9596075,419611573.97170097,29217542.53272901,419611573.97170097,613520537.4551775,378081330.04912347,235439207.40605408,-0.3617331885503887
461,2022-01-14,1062438259.818622,419150948.79109466,29217542.53272901,419150948.79109466,614069768.4947984,377629953.66038847,236439814.83440995,-0.11952875675243035
462,2022-01-15,1062624124.058518,418690341.818029,29217542.53272901,418690341.818029,614716239.70776,374381957.37403876,240334282.33372122,-0.867562184121141
463,2022-01-16,1062717047.3480111,418229698.8652386,29217542.53272901,418229698.8652386,615269805.9500437,373859152.42510855,241410653.52493513,-0.13984008296678496
464,2022-01-17,1062898369.0691677,417769069.92779756,29217542.524498377,417769069.92779756,615911756.6168717,377412290.6594169,238499465.9574548,0.9414474097015386
465,2022-01-18,1062987921.7478279,417824486.37127817,27949696.19428306,417824486.37127817,617213739.1822666,378644556.13868093,238569183.04358566,0.3254412243055498
466,2022-01-19,1063168998.468345,417363505.9819722,27949696.19428306,417363505.9819722,617855796.2920898,381152810.18153036,236702986.11055946,0.6580704577921921
467,2022-01-20,1063258711.5010519,417223670.56815404,27628242.173606645,417223670.56815404,618406798.7592913,379913476.62607974,238493322.13321155,-0.3262146861587638
468,2022-01-21,1063438640.519106,416762467.778856,27628242.172762297,416762467.778856,619047930.5674877,383985585.0074183,235062345.56006944,1.0604847005545395
469,2022-01-22,1063526523.2739869,416301268.521684,27628242.172762297,416301268.521684,619597012.5795407,383690991.87028396,235906020.70925677,-0.07677874731912482
470,2022-01-23,1063705683.5229293,415840063.9810877,27628242.172762297,415840063.9810877,620237377.3690794,383698091.29723823,236539286.07184112,0.0018502638181701059
471,2022-01-24,1063883176.6952248,415378862.45665866,27628242.172006574,415378862.45665866,620876072.0665597,385938264.421711,234937807.64484864,0.5804485667751749
472,2022-01-25,1063973442.3365406,414917657.1617835,27628242.171133563,414917657.1617835,621427543.0036234,385259782.8239219,236167760.17970145,-0.17611015424860454
473,2022-01-26,1064151963.1195482,414662282.3369723,27386462.16603003,414662282.3369723,622103218.6165458,384653442.7286171,237449775.88792872,-0.15763282683853674
474,2022-01-27,1064240824.9834871,414200912.6785113,27386462.16603003,414200912.6785113,622653450.1389457,383698835.5271205,238954614.61182523,-0.2487907476146347
475,2022-01-28,1064421143.3375597,434092234.7544885,3602373.157400851,434092234.7544885,626726535.4256703,381300201.4275557,245426333.9981146,-0.6290670947941948
